hf ({'pretrained': 'TinyLlama/TinyLlama-1.1B-Chat-v1.0'}), gen_kwargs: ({}), limit: None, num_fewshot: None, batch_size: 8
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |↑  |0.2482|±  |0.0036|
| - humanities                          |      2|none  |      |acc   |↑  |0.2591|±  |0.0064|
|  - formal_logic                       |      1|none  |     0|acc   |↑  |0.1905|±  |0.0351|
|  - high_school_european_history       |      1|none  |     0|acc   |↑  |0.2606|±  |0.0343|
|  - high_school_us_history             |      1|none  |     0|acc   |↑  |0.2353|±  |0.0298|
|  - high_school_world_history          |      1|none  |     0|acc   |↑  |0.2869|±  |0.0294|
|  - international_law                  |      1|none  |     0|acc   |↑  |0.2975|±  |0.0417|
|  - jurisprudence                      |      1|none  |     0|acc   |↑  |0.2500|±  |0.0419|
|  - logical_fallacies                  |      1|none  |     0|acc   |↑  |0.3129|±  |0.0364|
|  - moral_disputes                     |      1|none  |     0|acc   |↑  |0.2514|±  |0.0234|
|  - moral_scenarios                    |      1|none  |     0|acc   |↑  |0.2425|±  |0.0143|
|  - philosophy                         |      1|none  |     0|acc   |↑  |0.3023|±  |0.0261|
|  - prehistory                         |      1|none  |     0|acc   |↑  |0.2840|±  |0.0251|
|  - professional_law                   |      1|none  |     0|acc   |↑  |0.2503|±  |0.0111|
|  - world_religions                    |      1|none  |     0|acc   |↑  |0.2807|±  |0.0345|
| - other                               |      2|none  |      |acc   |↑  |0.2533|±  |0.0078|
|  - business_ethics                    |      1|none  |     0|acc   |↑  |0.1600|±  |0.0368|
|  - clinical_knowledge                 |      1|none  |     0|acc   |↑  |0.2491|±  |0.0266|
|  - college_medicine                   |      1|none  |     0|acc   |↑  |0.2428|±  |0.0327|
|  - global_facts                       |      1|none  |     0|acc   |↑  |0.3600|±  |0.0482|
|  - human_aging                        |      1|none  |     0|acc   |↑  |0.3004|±  |0.0308|
|  - management                         |      1|none  |     0|acc   |↑  |0.2039|±  |0.0399|
|  - marketing                          |      1|none  |     0|acc   |↑  |0.2521|±  |0.0284|
|  - medical_genetics                   |      1|none  |     0|acc   |↑  |0.2000|±  |0.0402|
|  - miscellaneous                      |      1|none  |     0|acc   |↑  |0.2695|±  |0.0159|
|  - nutrition                          |      1|none  |     0|acc   |↑  |0.2647|±  |0.0253|
|  - professional_accounting            |      1|none  |     0|acc   |↑  |0.2908|±  |0.0271|
